Song Title,Date,Language
Angels from the Realms of Glory,12/18/2016,Both
"Ven a mi coraz—n, O Cristo",12/18/2016,Spanish
Mary Did You Know?,12/18/2016,English
It Came Upon the Midnight Clear,12/18/2016,Both
O Come O Come Emmanuel,12/18/2016,Both
Come and Worship,12/24/2016,Both
"Ven a mi coraz—n, O Cristo",12/24/2016,Spanish
O Holy Night,12/24/2016,Both
Silent Night,12/24/2016,Both
O Come O Come Emmanuel,12/25/2016,Both
All Creatures of Our God and King,12/25/2016,Both
O Holy Night,12/25/2016,Both
In Christ Alone,12/25/2016,English
Build Your Kingdom Here,1/1/2017,English
All Creatures of Our God and King,1/1/2017,Both
Me Postro,1/1/2017,Spanish
"Ven a mi coraz—n, O Cristo",1/1/2017,Spanish
Conmigo Est‡s,1/1/2017,Spanish
Dios Majestuoso,1/8/2017,Spanish
Dame Tus ojos,1/8/2017,Spanish
In Christ Alone,1/8/2017,English
Lord I Need You,1/8/2017,English
El Dios Que Adoramos,1/8/2017,Spanish
Good Good Father,1/8/2017,English
Holy Spirit,1/15/2017,English
Indomable,1/15/2017,Spanish
Eternamente Exaltado,1/15/2017,Spanish
Tengo Un Refugio,1/15/2017,Spanish
Psalm 46 (Lord of Hosts),1/15/2017,English
Love Like Fire,1/15/2017,Spanish
Desert Song,1/22/2017,Spanish
Gracia Sublime Es,1/22/2017,Spanish
How Deep the Father's Love for Us,1/22/2017,English
Revelation Song,1/22/2017,Spanish
Build Your Kingdom Here,1/22/2017,English
Hosanna (Hillsong),1/22/2017,Both
Great I Am,1/29/2017,Both
Lead Me To The Cross,1/29/2017,Spanish
How Deep the Father's Love for Us,1/29/2017,English
Before the Throne,1/29/2017,Both
"O Heart, Bereaved and Lonely",1/29/2017,English
El Dios Que Adoramos,1/29/2017,Spanish
Indescribable,2/5/2017,Both
There Is Nothing,2/5/2017,English
Conmigo Est‡s,2/5/2017,Spanish
Aumenta mi fe,2/5/2017,Spanish
Consolador,2/5/2017,Spanish
Be Thou My Vision,2/5/2017,English
Praise to the Lord Almighty,2/12/2017,English
Relentless,2/12/2017,Both
From the Inside Out,2/12/2017,Spanish
Psalm 100,2/12/2017,Spanish
A Mighty Fortress,2/12/2017,Both
Take My Life,2/12/2017,Both
How Great Thou Art,2/19/2017,Both
Jesus Paid It All,2/19/2017,English
It Is Well,2/19/2017,Both
"Man of Sorrows (Hallelujah, What a Savior)",2/19/2017,Both
Soon,2/19/2017,English
Conmigo Est‡s,2/19/2017,Spanish
Praise to the Lord Almighty,2/26/2017,English
Behold Our God,2/26/2017,Spanish
"Holy, Holy, Holy",2/26/2017,Spanish
Before the Throne,2/26/2017,English
Oceans,2/26/2017,English
Eternamente Exaltado,2/26/2017,Spanish
Eres El Camino,3/5/2017,Spanish
Beautiful,3/5/2017,Spanish
By Faith,3/5/2017,English
To You Be The Glory,3/5/2017,English
The Revelation of Jesus Christ,3/5/2017,English
Lead Me To The Cross,3/5/2017,Spanish
Dios Majestuoso,3/12/2017,Spanish
Dame Tus ojos,3/12/2017,Spanish
To You Be The Glory,3/12/2017,English
Sovereign,3/12/2017,English
"Holy, Holy, Holy",3/12/2017,Spanish
Because He Lives (Amen),3/12/2017,English
